ANIO,OPERADOR_ID,DIAMETRO_PULG,EDAD_ANIOS,PRESION_MAX_PSI,PRESION_INCIDENTE_PSI,RECUBRIMIENTO,CLASE_UBICACION,COSTA_AFUERA,CAUSA,IGNICION,COSTO_USD,GAS_LIBERADO_MPCS,IND_CORROSION_GALVANICA
2013,3,20.0,47.0,970.0,790.0,ALQUITRAN,1,0,CORROSION,0,384149.0,15.0,0
2013,8170,4.0,47.0,275.0,250.0,ALQUITRAN,2,0,DANO POR EXCAVACION,0,272181.0,6000.0,0
2013,19235,20.0,42.0,1440.0,671.0,OTRO,1,1,CORROSION,0,634925.0,360.0,0
2013,31531,16.0,43.0,960.0,661.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,115301.0,3789.0,0
2013,13750,8.0,47.0,895.0,776.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,256437.0,4057.0,0
2013,792,16.0,42.0,300.0,251.0,OTRO,3,0,DANO POR EXCAVACION,0,76022.0,365.0,0
2013,12696,16.0,67.0,775.0,592.0,ALQUITRAN,1,0,CORROSION,0,70202.0,16.0,0
2013,1007,20.0,59.0,1052.0,845.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,481560.0,75000.0,0
2013,18484,10.0,81.0,400.0,362.0,SIN RECUBRIMIENTO,1,0,DANO POR EXCAVACION,0,336455.0,11300.0,0
2013,405,12.0,34.0,1200.0,846.0,OTRO,1,1,CORROSION,0,331276.0,1000.0,0
2013,32005,6.0,35.0,450.0,350.0,ALQUITRAN,3,0,OTRA FUERZA EXTERNA,0,357760.0,23.0,0
2013,5304,14.0,54.0,750.0,675.0,CINTA FRIA,3,0,FUERZA NATURAL,0,166313.0,1443.2,0
2013,22435,6.0,73.0,397.0,295.0,ALQUITRAN,1,0,DANO POR EXCAVACION,1,920922.0,126.8,0
2013,19235,16.0,38.0,1438.0,964.0,OTRO,1,1,CORROSION,0,920848.0,6409.0,0
2013,1007,12.0,50.0,865.0,815.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,286827.0,6142.0,0
2013,5304,30.0,47.0,975.0,952.0,OTRO,1,0,CORROSION,1,3363675.0,86000.0,0
2013,26330,4.5,33.0,907.0,811.0,ALQUITRAN,1,0,CORROSION,0,82949.0,18950.0,0
2012,15825,8.625,37.0,1066.0,835.0,OTRO,1,0,CORROSION,0,284661.0,866.0,0
2013,13480,6.625,22.0,473.0,450.0,OTRO,2,0,FUERZA NATURAL,0,757762.0,2900.0,0
2013,31728,30.0,61.0,780.0,657.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,105730.0,0.0,0
2013,4060,8.625,56.0,1565.0,1483.0,ALQUITRAN,3,0,CORROSION,0,1692388.0,17700.0,0
2013,31130,12.75,29.0,1000.0,815.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,179043.0,4200.0,0
2013,12180,10.0,47.0,350.0,185.0,ALQUITRAN,3,0,DANO POR EXCAVACION,1,193777.0,1110.0,0
2013,32099,8.625,40.0,944.0,802.0,ALQUITRAN,1,0,CORROSION,0,123131.0,26765.0,0
2013,19160,24.0,39.0,1250.0,889.0,OTRO,1,1,CORROSION,0,499852.0,2300.0,0
