campo,fecha,dias,oil_bpd,agua_bpd,gas_ksm3d
ALVE,2011-12-01,31,5610.1,0.0,2064.84
ALVE,2012-01-01,31,5460.0,0.0,2037.1
ALVE,2012-02-01,29,5771.4,2.2,2145.52
ALVE,2012-03-01,31,6153.9,4.1,2130.32
ALVE,2012-04-01,30,5778.2,8.4,1365.0
ALVE,2012-05-01,31,5839.4,8.1,1831.29
ALVE,2012-06-01,30,2312.5,2.1,741.0
ALVE,2012-07-01,31,5695.3,2.0,1832.26
ALVE,2012-08-01,31,5238.8,8.1,1528.06
ALVE,2012-09-01,30,4486.7,2.1,1716.0
ALVE,2012-10-01,31,1022.6,0.0,375.48
ALVE,2012-11-01,30,247.4,4.2,180.0
ALVE,2012-12-01,31,2177.1,12.2,673.23
ALVE,2013-01-01,31,2538.2,26.4,750.0
ALVE,2013-02-01,28,2684.4,58.4,836.43
ALVE,2013-03-01,31,2651.9,40.6,824.84
ALVE,2013-04-01,30,612.2,60.8,139.67
ALVE,2013-05-01,31,505.2,18.3,207.1
ALVE,2013-06-01,30,2970.9,79.7,1148.67
ALVE,2013-07-01,31,2871.0,46.7,1040.65
ALVE,2013-08-01,31,2929.8,83.2,1085.48
ALVE,2013-09-01,30,469.6,8.4,176.33
ALVE,2013-10-01,31,2081.7,14.2,880.65
ALVE,2013-11-01,30,3769.7,4.2,1578.67
ALVE,2013-12-01,31,3978.8,4.1,1784.19
ALVE,2014-01-01,31,3820.5,2.0,1707.1
ALVE,2014-02-01,28,3535.8,13.5,1538.93
ALVE,2014-03-01,31,3569.0,188.7,1655.16
ALVE,2014-04-01,30,3610.3,188.7,1610.0
ALVE,2014-05-01,31,3621.7,144.1,1741.94
ALVE,2014-06-01,30,3509.7,104.8,1665.33
ALVE,2014-07-01,31,3394.5,89.3,1561.94
ALVE,2014-08-01,31,835.9,18.3,399.68
ALVE,2014-09-01,30,3176.3,39.8,1301.67
ALVE,2014-10-01,31,3077.9,113.6,1511.61
ALVE,2014-11-01,30,3075.7,29.4,1548.0
ALVE,2014-12-01,31,2990.7,38.6,1502.58
ALVE,2015-01-01,31,2485.5,24.3,1230.0
ALVE,2015-02-01,28,2954.0,27.0,1375.0
ALVE,2015-03-01,31,3104.3,48.7,1453.55
ALVE,2015-04-01,30,3042.2,31.4,1385.0
ALVE,2015-05-01,31,3102.3,16.2,1454.52
ALVE,2015-06-01,30,3069.4,23.1,1398.67
ALVE,2015-07-01,31,2580.8,12.2,1329.35
ALVE,2015-08-01,31,2438.8,16.2,1217.74
ALVE,2015-09-01,30,2314.6,23.1,1169.33
ALVE,2015-10-01,31,2152.7,26.4,1038.06
ALVE,2015-11-01,30,2111.3,23.1,1020.67
ALVE,2015-12-01,31,2098.0,22.3,1020.65
ALVE,2016-01-01,31,2091.9,18.3,986.45
ALVE,2016-02-01,29,2236.1,15.2,1193.79
ALVE,2016-03-01,31,2069.5,16.2,1010.32
ALVE,2016-04-01,30,2058.9,16.8,999.0
ALVE,2016-05-01,31,2100.0,6.1,1043.87
ALVE,2016-06-01,30,2088.2,10.5,1052.67
ALVE,2016-07-01,31,2627.5,58.8,1283.23
ALVE,2016-08-01,31,2921.7,6.1,1334.52
ALVE,2016-09-01,30,0.0,0.0,0.0
ALVE,2016-10-01,31,3751.6,12.2,1542.26
ALVE,2016-11-01,30,4178.5,52.4,1912.33
ALVE,2016-12-01,31,3999.1,93.3,2221.29
ALVE,2017-01-01,31,3203.7,26.4,1987.74
ALVE,2017-02-01,28,3091.0,27.0,1980.71
ALVE,2017-03-01,31,2952.1,38.6,1940.0
ALVE,2017-04-01,30,2801.1,48.2,1840.33
ALVE,2017-05-01,31,2804.0,40.6,2093.23
ALVE,2017-06-01,30,2855.6,180.3,1866.0
ALVE,2017-07-01,31,3327.5,198.8,2465.81
ALVE,2017-08-01,31,3262.6,178.5,2299.35
ALVE,2017-09-01,30,3010.7,161.4,2097.0
ALVE,2017-10-01,31,3122.6,190.7,2196.77
ALVE,2017-11-01,30,2979.3,540.9,2338.67
ALVE,2017-12-01,31,2931.9,953.6,2054.19
ALVE,2018-01-01,31,2100.0,513.3,1550.97
ALVE,2018-02-01,28,2504.7,465.0,1867.5
ALVE,2018-03-01,31,2446.9,659.4,1861.94
ALVE,2018-04-01,30,2474.0,631.1,1930.33
ALVE,2018-05-01,31,2451.0,355.1,1817.74
ALVE,2018-06-01,30,2434.2,331.3,1686.0
ALVE,2018-07-01,31,2341.4,322.6,1616.45
ALVE,2018-08-01,31,2418.5,357.1,1885.16
ALVE,2018-09-01,30,2285.3,385.8,1773.33
ALVE,2018-10-01,31,2300.8,336.8,1764.52
ALVE,2018-11-01,30,2302.1,320.8,1587.67
ALVE,2018-12-01,31,2221.7,253.6,1610.97
ALVE,2019-01-01,31,1529.8,243.5,1689.68
ALVE,2019-02-01,28,1583.7,256.1,1764.29
ALVE,2019-03-01,31,1570.4,243.5,1705.81
ALVE,2019-04-01,30,1559.9,241.1,1704.0
ALVE,2019-05-01,31,1491.3,235.4,1658.71
ALVE,2019-06-01,30,1438.3,239.0,1679.33
ALVE,2019-07-01,31,1318.8,239.4,1440.65
ALVE,2019-08-01,31,1278.2,223.2,1520.0
ALVE,2019-09-01,30,1211.8,205.5,1302.67
ALVE,2019-10-01,31,1363.5,213.0,1504.84
ALVE,2019-11-01,30,1119.6,195.0,1267.0
ALVE,2019-12-01,31,2735.0,241.4,1604.84
ALVE,2020-01-01,31,787.2,150.1,939.35
ALVE,2020-02-01,29,1025.9,184.4,1236.55
ALVE,2020-03-01,31,521.4,95.4,1223.55
ALVE,2020-04-01,30,377.4,75.5,1055.67
ALVE,2020-05-01,31,403.8,69.0,1013.55
ALVE,2020-06-01,30,685.6,117.4,1023.0
ALVE,2020-07-01,31,1006.4,176.5,1380.65
ALVE,2020-08-01,31,1000.3,182.6,1211.29
ALVE,2020-09-01,30,832.4,138.4,787.0
ALVE,2020-10-01,31,975.9,154.2,997.74
ALVE,2020-11-01,30,647.8,94.3,729.33
ALVE,2020-12-01,31,1030.7,215.1,1755.16
ALVE,2021-01-01,31,1016.5,211.0,1663.55
ALVE,2021-02-01,28,925.5,186.4,1398.93
ALVE,2021-03-01,31,1079.4,217.1,1529.68
ALVE,2021-04-01,30,1092.3,192.9,1402.0
ALVE,2021-05-01,31,420.0,73.0,441.61
ALVE,2021-06-01,30,96.4,29.4,66.67
ALVE,2021-07-01,31,913.0,168.4,1375.16
ALVE,2021-08-01,31,866.4,150.1,1220.32
ALVE,2021-09-01,30,423.5,77.6,945.67
ALVE,2021-10-01,31,777.1,148.1,1011.94
