PROF,GR,DEN,NEU,RDEP,AC
3629.0,33.84,2.2291,23.9,0.49,95.91
3629.15,32.29,2.2228,23.69,0.507,95.72
3629.3,36.8,2.2085,24.28,0.524,96.73
3629.45,29.17,2.1984,31.57,0.53,98.79
3629.61,30.37,2.1885,25.07,0.532,99.72
3629.76,30.39,2.1875,25.41,0.52,101.6
3629.91,31.35,2.1916,24.93,0.52,100.65
3630.06,29.09,2.1883,29.54,0.519,101.63
3630.22,30.44,2.1887,26.7,0.517,101.61
3630.37,28.19,2.199,27.56,0.514,99.4
3630.52,28.74,2.2077,28.37,0.506,95.88
3630.67,29.96,2.2136,24.79,0.494,95.74
3630.83,31.35,2.2134,26.55,0.496,95.24
3630.98,30.3,2.2029,28.45,0.482,95.15
3631.13,29.29,2.2003,22.97,0.478,94.68
3631.28,29.63,2.2087,27.3,0.468,95.24
3631.44,32.56,2.2125,41.92,0.463,100.31
3631.59,32.72,2.2176,29.03,0.461,97.88
3631.74,36.7,2.2188,33.25,0.465,97.15
3631.89,42.42,2.2138,37.84,0.472,97.04
3632.05,38.73,2.1721,33.52,0.474,96.87
3632.2,37.1,2.1299,31.32,0.506,98.14
3632.35,34.34,2.1452,30.87,0.514,98.7
3632.5,35.55,2.1645,34.01,0.515,99.71
3632.66,36.29,2.1762,27.3,0.512,101.63
3632.81,41.0,2.1869,26.02,0.514,108.69
3632.96,39.02,2.2042,33.58,0.509,105.25
3633.11,43.88,2.2258,36.7,0.501,103.19
3633.26,44.85,2.2396,38.32,0.509,103.46
3633.42,43.0,2.2679,34.4,0.517,95.36
3633.57,48.63,2.2997,33.34,0.54,94.85
3633.72,49.53,2.306,27.49,0.581,90.5
3633.87,63.59,2.291,35.59,0.639,91.12
3634.03,65.69,2.268,56.7,0.702,99.0
3634.18,69.51,2.2557,52.98,0.717,117.97
3634.33,64.04,2.2567,91.19,0.745,122.89
3634.48,61.54,2.2555,49.2,0.77,117.79
3634.64,64.27,2.2543,58.81,0.774,114.07
3634.79,60.56,2.2491,32.76,0.777,109.86
3634.94,47.72,2.2381,35.69,0.78,98.88
3635.09,39.41,2.2262,31.74,0.789,89.99
3635.25,42.95,2.2189,28.04,0.805,87.27
3635.4,37.15,2.2218,27.31,0.817,91.16
3635.55,31.35,2.2228,27.34,0.801,92.66
3635.7,31.85,2.216,27.13,0.787,93.83
3635.86,31.54,2.2125,33.59,0.774,95.45
3636.01,32.47,2.2169,24.65,0.764,95.22
3636.16,32.34,2.2246,31.63,0.753,95.9
3636.31,32.04,2.2277,28.41,0.724,95.53
3636.47,31.67,2.2314,29.78,0.7,94.97
3636.62,28.93,2.2387,26.3,0.671,95.73
3636.77,23.72,2.242,27.96,0.651,95.74
3636.92,27.79,2.2377,28.83,0.638,95.65
3637.07,27.64,2.2332,21.58,0.625,96.39
3637.23,28.98,2.2267,25.93,0.606,96.81
3637.38,28.16,2.2166,29.44,0.591,97.11
3637.53,30.88,2.2218,31.34,0.585,97.28
3637.68,27.77,2.229,24.76,0.575,96.79
3637.84,27.03,2.2248,30.07,0.573,96.83
3637.99,25.98,2.2221,28.53,0.574,96.75
3638.14,25.98,2.218,28.24,0.58,96.97
3638.29,28.33,2.2153,31.73,0.613,96.97
3638.45,26.6,2.2155,27.05,0.639,96.94
3638.6,30.22,2.2132,26.35,0.656,96.71
3638.75,32.63,2.2121,23.38,0.669,96.05
3638.9,30.35,2.2084,24.94,0.678,96.4
3639.06,30.25,2.2036,23.3,0.689,95.84
3639.21,28.85,2.2093,24.52,0.709,95.81
3639.36,29.64,2.2202,25.16,0.723,95.96
3639.51,29.03,2.2198,24.0,0.739,95.54
3639.67,30.22,2.2204,26.66,0.758,96.02
3639.82,30.39,2.2276,24.29,0.789,96.02
3639.97,34.86,2.2347,22.62,0.812,98.66
3640.12,42.96,2.2404,25.69,0.839,103.47
3640.28,50.22,2.2469,30.93,0.872,107.77
3640.43,55.46,2.2685,35.69,0.903,110.87
3640.58,53.71,2.3034,35.75,0.932,109.84
3640.73,56.82,2.3293,48.63,1.031,111.68
3640.88,68.24,2.3252,76.61,1.102,118.45
3641.04,63.98,2.3257,55.39,1.135,115.92
3641.19,63.7,2.3486,42.39,1.151,115.76
3641.34,59.18,2.3677,30.56,1.13,113.08
